Row,Sample,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),First Attempt,Incorrects,Hints,Corrects,Condition,KC,Opportunity
15,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PARALLELOGRAM_ABDE,1,(BASE QUESTION3),02/01/1996 00:06,02/01/1996 00:06,02/01/1996 00:06,02/01/1996 00:06,18,18,.,correct,0,0,1,.,Non-area formula,12
16,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,SQUARE_ABCD,1,(AREA QUESTION1),02/01/1996 00:06,02/01/1996 00:06,02/01/1996 00:06,02/01/1996 00:06,0,0,.,correct,0,0,1,.,Non-area formula,13
17,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,SQUARE_ABCD,1,(HEIGHT QUESTION2),02/01/1996 00:06,02/01/1996 00:06,02/01/1996 00:06,02/01/1996 00:06,3,3,.,correct,0,0,1,.,Non-area formula,14
18,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,SQUARE_ABCD,1,(BASE QUESTION3),02/01/1996 00:06,02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,6,6,.,correct,0,0,1,.,Non-area formula,15
19,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(DOOR-AREA QUESTION1),02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,0,0,.,correct,0,0,1,.,Non-area formula,16
20,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(WALL-AREA QUESTION1),02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,5,.,5,incorrect,1,0,1,.,Non-area formula,17
21,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(PAINTED-AREA QUESTION1),02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,7,7,.,correct,0,0,1,.,Area formula,4
22,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(DOOR-AREA QUESTION2),02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,6,6,.,correct,0,0,1,.,Non-area formula,18
23,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(DOOR-AREA QUESTION3),02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,19,19,.,correct,0,0,1,.,Non-area formula,19
24,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(WALL-AREA QUESTION2),02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,02/01/1996 00:07,7,.,7,incorrect,1,0,1,.,Non-area formula,20
25,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(PAINTED-AREA QUESTION2),02/01/1996 00:07,02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,7,.,7,incorrect,1,0,1,.,Area formula,5
26,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(WALL-AREA QUESTION3),02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,7,7,.,correct,0,0,1,.,Non-area formula,21
27,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PAINTING_THE_WALL,1,(PAINTED-AREA QUESTION3),02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,7,7,.,correct,0,0,1,.,Area formula,6
28,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,RECTANGLE_HEIGHT,1,(HEIGHT QUESTION2),02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,0,0,.,correct,0,0,1,.,Non-area formula,22
29,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_AREA,1,(AREA QUESTION1),02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,02/01/1996 00:08,1,.,1,incorrect,1,0,1,.,Non-area formula,23
30,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_HEIGHT,1,(HEIGHT QUESTION3),02/01/1996 00:12,02/01/1996 00:12,02/01/1996 00:12,02/01/1996 00:12,1,.,1,incorrect,1,0,1,.,Non-area formula,24
31,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_BASE,1,(LONGER-BASE QUESTION2),02/01/1996 00:12,02/01/1996 00:12,02/01/1996 00:12,02/01/1996 00:12,1,.,1,incorrect,1,0,1,.,Non-area formula,25
32,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,1,(AREA QUESTION1),02/01/1996 00:12,02/01/1996 00:12,02/01/1996 00:12,02/01/1996 00:18,48,.,48,incorrect,2,0,2,.,Non-area formula,26
33,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,1,(LONGER-BASE QUESTION2),02/01/1996 00:12,02/01/1996 00:14,02/01/1996 00:14,02/01/1996 00:17,151,151,.,correct,1,0,2,.,Non-area formula,27
34,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,1,(HEIGHT QUESTION3),02/01/1996 00:14,02/01/1996 00:16,02/01/1996 00:16,02/01/1996 00:18,156,.,156,incorrect,1,0,2,.,Non-area formula,28
35,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_AREA,2,(AREA QUESTION1),02/01/1996 00:19,02/01/1996 00:19,02/01/1996 00:19,02/01/1996 00:19,0,0,.,correct,0,0,1,.,Non-area formula,29
36,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_HEIGHT,2,(HEIGHT QUESTION3),02/01/1996 00:20,02/01/1996 00:20,02/01/1996 00:20,02/01/1996 00:20,0,0,.,correct,0,0,1,.,Non-area formula,30
37,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_BASE,2,(LONGER-BASE QUESTION2),02/01/1996 00:21,02/01/1996 00:21,02/01/1996 00:21,02/01/1996 00:21,0,0,.,correct,0,0,1,.,Non-area formula,31
38,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,2,(AREA QUESTION1),02/01/1996 00:24,02/01/1996 00:24,02/01/1996 00:24,02/01/1996 00:24,1,.,1,incorrect,1,0,1,.,Non-area formula,32
39,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,2,(LONGER-BASE QUESTION2),02/01/1996 00:24,02/01/1996 00:25,02/01/1996 00:25,02/01/1996 00:25,69,.,69,incorrect,1,0,1,.,Non-area formula,33
40,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,2,(HEIGHT QUESTION3),02/01/1996 00:25,02/01/1996 00:25,02/01/1996 00:25,02/01/1996 00:25,7,.,7,incorrect,1,0,1,.,Non-area formula,34
41,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_AREA,3,(AREA QUESTION1),02/01/1996 00:25,02/01/1996 00:25,02/01/1996 00:25,02/01/1996 00:25,1,.,1,incorrect,1,0,1,.,Non-area formula,35
42,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_HEIGHT,3,(HEIGHT QUESTION3),02/01/1996 00:27,02/01/1996 00:27,02/01/1996 00:27,02/01/1996 00:27,0,0,.,correct,0,0,1,.,Non-area formula,36
43,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,3,(AREA QUESTION1),02/01/1996 00:28,02/01/1996 00:28,02/01/1996 00:28,02/01/1996 00:28,1,.,1,incorrect,1,0,1,.,Non-area formula,37
44,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,3,(LONGER-BASE QUESTION2),02/01/1996 00:28,02/01/1996 00:28,02/01/1996 00:28,02/01/1996 00:28,46,.,46,incorrect,1,0,1,.,Non-area formula,38
45,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,3,(HEIGHT QUESTION3),02/01/1996 00:28,02/01/1996 00:28,02/01/1996 00:28,02/01/1996 00:28,5,.,5,incorrect,1,0,1,.,Non-area formula,39
46,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_AREA,4,(AREA QUESTION1),02/01/1996 00:29,02/01/1996 00:29,02/01/1996 00:29,02/01/1996 00:29,0,0,.,correct,0,0,1,.,Non-area formula,40
47,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_HEIGHT,4,(HEIGHT QUESTION3),02/01/1996 00:29,02/01/1996 00:29,02/01/1996 00:29,02/01/1996 00:29,1,.,1,incorrect,1,0,1,.,Non-area formula,41
48,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_BASE,3,(LONGER-BASE QUESTION2),02/01/1996 00:29,02/01/1996 00:29,02/01/1996 00:29,02/01/1996 00:29,1,.,1,incorrect,1,0,1,.,Non-area formula,42
49,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,4,(AREA QUESTION1),02/01/1996 00:29,02/01/1996 00:29,02/01/1996 00:29,02/01/1996 00:29,0,0,.,correct,0,0,1,.,Non-area formula,43
50,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,4,(LONGER-BASE QUESTION2),02/01/1996 00:29,02/01/1996 00:30,02/01/1996 00:30,02/01/1996 00:30,54,54,.,correct,0,0,1,.,Non-area formula,44
51,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_ABCD,4,(HEIGHT QUESTION3),02/01/1996 00:30,02/01/1996 00:30,02/01/1996 00:30,02/01/1996 00:30,4,4,.,correct,0,0,1,.,Non-area formula,45
52,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_AREA,5,(AREA QUESTION1),02/01/1996 00:31,02/01/1996 00:31,02/01/1996 00:31,02/01/1996 00:31,0,0,.,correct,0,0,1,.,Non-area formula,46
53,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_HEIGHT,5,(HEIGHT QUESTION3),02/01/1996 00:31,02/01/1996 00:31,02/01/1996 00:31,02/01/1996 00:31,0,0,.,correct,0,0,1,.,Non-area formula,47
54,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_BASE,4,(LONGER-BASE QUESTION2),02/01/1996 00:31,02/01/1996 00:31,02/01/1996 00:31,02/01/1996 00:31,1,.,1,incorrect,1,0,1,.,Non-area formula,48
55,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_HEIGHT,6,(HEIGHT QUESTION3),02/01/1996 00:31,02/01/1996 00:31,02/01/1996 00:31,02/01/1996 00:31,0,0,.,correct,0,0,1,.,Non-area formula,49
56,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRAPEZOID_BASE,5,(LONGER-BASE QUESTION2),02/01/1996 00:33,02/01/1996 00:33,02/01/1996 00:33,02/01/1996 00:33,15,15,.,correct,0,0,5,.,Non-area formula,50
57,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_ABC,1,(AREA QUESTION1),02/01/1996 00:33,02/01/1996 00:33,02/01/1996 00:33,02/01/1996 00:33,0,0,.,correct,0,0,1,.,Non-area formula,51
58,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_ABC,1,(HEIGHT QUESTION2),02/01/1996 00:33,02/01/1996 00:34,02/01/1996 00:34,02/01/1996 00:34,22,.,22,incorrect,1,0,1,.,Non-area formula,52
59,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_ABC,1,(BASE QUESTION3),02/01/1996 00:34,02/01/1996 00:34,02/01/1996 00:34,02/01/1996 00:34,13,13,.,correct,0,0,1,.,Non-area formula,53
60,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_TRIANGLE,1,(AREA QUESTION1),02/01/1996 00:34,02/01/1996 00:34,02/01/1996 00:34,02/01/1996 00:34,1,.,1,incorrect,1,0,1,.,Non-area formula,54
61,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_RECTANGLE,1,(BASE QUESTION1),02/01/1996 00:35,02/01/1996 00:35,02/01/1996 00:35,02/01/1996 00:35,1,.,1,incorrect,1,0,1,.,Area formula,7
62,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_RECTANGLE,1,(AREA QUESTION1),02/01/1996 00:35,02/01/1996 00:35,02/01/1996 00:35,02/01/1996 00:35,20,.,20,incorrect,1,0,1,.,Non-area formula,55
63,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(AREA QUESTION1),02/01/1996 00:36,02/01/1996 00:36,02/01/1996 00:36,02/01/1996 00:36,0,0,.,correct,0,0,1,.,Non-area formula,56
64,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(WHITE-AREA QUESTION1),02/01/1996 00:36,02/01/1996 00:37,02/01/1996 00:37,02/01/1996 00:37,61,.,61,incorrect,1,0,1,.,Area formula,8
65,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(GREEN-AREA QUESTION1),02/01/1996 00:37,02/01/1996 00:37,02/01/1996 00:37,02/01/1996 00:37,22,22,.,correct,0,0,1,.,Area formula,9
66,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(PURPLE-AREA QUESTION1),02/01/1996 00:37,02/01/1996 00:37,02/01/1996 00:37,02/01/1996 00:37,32,32,.,correct,0,0,1,.,Area formula,10
67,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(AREA QUESTION2),02/01/1996 00:37,02/01/1996 00:38,02/01/1996 00:38,02/01/1996 00:38,19,.,19,incorrect,1,0,1,.,Non-area formula,57
68,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(WHITE-AREA QUESTION2),02/01/1996 00:38,02/01/1996 00:38,02/01/1996 00:38,02/01/1996 00:38,6,6,.,correct,0,0,1,.,Area formula,11
69,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(GREEN-AREA QUESTION2),02/01/1996 00:38,02/01/1996 00:38,02/01/1996 00:38,02/01/1996 00:38,22,22,.,correct,0,0,1,.,Area formula,12
70,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(PURPLE-AREA QUESTION2),02/01/1996 00:38,02/01/1996 00:38,02/01/1996 00:38,02/01/1996 00:38,12,12,.,correct,0,0,1,.,Area formula,13
71,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(AREA QUESTION3),02/01/1996 00:38,02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,12,12,.,correct,0,0,1,.,Non-area formula,58
72,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(WHITE-AREA QUESTION3),02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,8,.,8,incorrect,1,0,1,.,Area formula,14
73,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(GREEN-AREA QUESTION3),02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,4,4,.,correct,0,0,1,.,Area formula,15
74,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,1,(PURPLE-AREA QUESTION3),02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,16,16,.,correct,0,0,1,.,Area formula,16
75,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PENTAGON_ABCDE,1,(AREA QUESTION1),02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,1,.,1,incorrect,1,0,1,.,Non-area formula,59
76,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PENTAGON_ABCDE,1,(APOTHEM QUESTION2),02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,02/01/1996 00:39,13,13,.,correct,0,0,1,.,Non-area formula,60
77,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PENTAGON_ABCDE,1,(SIDE QUESTION3),02/01/1996 00:39,02/01/1996 00:40,02/01/1996 00:40,02/01/1996 00:40,29,29,.,correct,0,0,1,.,Non-area formula,61
78,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_AREA,1,(AREA QUESTION1),02/01/1996 00:40,02/01/1996 00:40,02/01/1996 00:40,02/01/1996 00:40,0,0,.,correct,0,0,1,.,Non-area formula,62
79,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_HEIGHT,1,(HEIGHT QUESTION2),02/01/1996 00:41,02/01/1996 00:41,02/01/1996 00:41,02/01/1996 00:41,1,.,1,incorrect,1,0,1,.,Non-area formula,63
80,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_BASE,1,(BASE QUESTION3),02/01/1996 00:41,02/01/1996 00:41,02/01/1996 00:41,02/01/1996 00:41,1,.,1,incorrect,1,0,1,.,Non-area formula,64
81,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(AREA QUESTION1),02/01/1996 00:41,02/01/1996 00:41,02/01/1996 00:41,02/01/1996 00:41,0,0,.,correct,0,0,1,.,Non-area formula,65
82,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(WHITE-AREA QUESTION1),02/01/1996 00:41,02/01/1996 00:41,02/01/1996 00:41,02/01/1996 00:41,18,18,.,correct,0,0,1,.,Area formula,17
83,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(GREEN-AREA QUESTION1),02/01/1996 00:41,02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,12,12,.,correct,0,0,1,.,Area formula,18
84,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(PURPLE-AREA QUESTION1),02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,8,8,.,correct,0,0,1,.,Area formula,19
85,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(AREA QUESTION2),02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,4,4,.,correct,0,0,1,.,Non-area formula,66
86,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(WHITE-AREA QUESTION2),02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,16,.,16,incorrect,1,0,1,.,Area formula,20
87,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(GREEN-AREA QUESTION2),02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,8,8,.,correct,0,0,1,.,Area formula,21
88,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(PURPLE-AREA QUESTION2),02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,6,6,.,correct,0,0,1,.,Area formula,22
89,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(AREA QUESTION3),02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,3,3,.,correct,0,0,1,.,Non-area formula,67
90,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(WHITE-AREA QUESTION3),02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,02/01/1996 00:42,4,4,.,correct,0,0,1,.,Area formula,23
91,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(GREEN-AREA QUESTION3),02/01/1996 00:42,02/01/1996 00:43,02/01/1996 00:43,02/01/1996 00:43,12,12,.,correct,0,0,1,.,Area formula,24
92,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,DESIGNING_A_QUILT,2,(PURPLE-AREA QUESTION3),02/01/1996 00:43,02/01/1996 00:43,02/01/1996 00:43,02/01/1996 00:43,9,9,.,correct,0,0,1,.,Area formula,25
93,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PENTAGON_ABCDE,2,(AREA QUESTION1),02/01/1996 00:43,02/01/1996 00:43,02/01/1996 00:43,02/01/1996 00:43,1,.,1,incorrect,1,0,1,.,Non-area formula,68
94,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PENTAGON_ABCDE,2,(APOTHEM QUESTION2),02/01/1996 00:43,02/01/1996 00:43,02/01/1996 00:43,02/01/1996 00:43,17,17,.,correct,0,0,1,.,Non-area formula,69
95,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,PENTAGON_ABCDE,2,(SIDE QUESTION3),02/01/1996 00:43,02/01/1996 00:44,02/01/1996 00:44,02/01/1996 00:44,29,29,.,correct,0,0,1,.,Non-area formula,70
96,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_ABC,2,(AREA QUESTION1),02/01/1996 00:44,02/01/1996 00:44,02/01/1996 00:44,02/01/1996 00:44,1,.,1,incorrect,1,0,1,.,Non-area formula,71
97,All Data,Stu_02ee1b3f31a6f6a7f4b8012298b2395e,Unit Area,TRIANGLE_ABC,2,(BASE QUESTION3),02/01/1996 00:44,02/01/1996 00:44,02/01/1996 00:44,02/01/1996 00:44,29,.,29,incorrect,1,0,1,.,Non-area formula,72
